==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    264.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    265.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    266.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    267.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    268.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    269.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    270.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    271.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    272.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    273.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    274.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    275.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    276.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    277.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    278.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    279.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    280.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    281.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    282.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    283.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    284.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    285.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    286.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    287.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    288.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    289.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    290.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    291.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    292.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
